@relation features

@attribute MEAN_105_0 numeric
@attribute MEAN_105_1 numeric
@attribute VARIANCE_105_0 numeric
@attribute VARIANCE_105_1 numeric
@attribute MEAN_106_0 numeric
@attribute MEAN_106_1 numeric
@attribute VARIANCE_106_0 numeric
@attribute VARIANCE_106_1 numeric
@attribute VARIANCE_6_0 numeric
@attribute class {slow_walking,fast_walking,slow_running,fast_running,upstairs,downstairs}

@data
16.971866,3.659032,23.569374,39.836703,5.268987,-0.643829,1.924937,18.877196,0.317584,fast_running
17.013159,2.384978,24.623745,31.797637,5.113048,-0.632066,1.991354,18.326232,0.268439,fast_running
16.991356,2.432891,21.905316,33.243672,4.8645,0.246279,2.570389,16.797699,0.285857,fast_running
16.735345,3.284023,22.455472,34.151498,4.95423,0.228605,2.365016,15.194951,0.274962,fast_running
17.36267,2.286616,22.930501,35.29306,4.595581,-0.756893,2.202003,16.175495,0.22925,fast_running
16.626657,1.52023,20.420631,28.096793,4.318067,-0.217038,1.925616,12.921516,0.203643,fast_running
16.630787,2.035874,20.963,20.085368,4.193169,0.177525,2.048489,10.744797,0.174411,fast_running
14.783973,0.443464,28.032562,14.930861,3.180285,-0.352577,1.463756,4.488782,0.113604,fast_running
13.929967,0.261147,26.568663,17.119757,3.069136,-0.082851,1.773209,3.686318,0.094831,fast_running
13.472751,0.068542,28.546225,19.118,2.947196,-0.109838,1.555165,3.07389,0.049478,fast_running
12.471702,0.680487,28.492036,20.868052,2.683324,0.058741,1.37885,2.635977,0.039683,fast_running
9.795891,-1.272415,19.984081,2.736578,1.336592,0.048235,0.261828,0.85915,0.012025,downstairs
9.907714,-1.213087,17.740602,2.029034,1.300417,0.004528,0.312149,0.849472,0.011538,downstairs
9.857951,-1.169506,15.923914,1.823479,1.244721,0.016309,0.267842,0.939926,0.013113,downstairs
9.797045,-0.930779,15.932484,1.955124,1.154238,0.081224,0.252793,0.879404,0.01157,downstairs
9.793508,-0.991491,19.649166,2.153991,1.286969,-0.014475,0.319972,1.195473,0.014445,downstairs
